id,name,count
CL:0002570,mesenchymal stem cell of adipose tissue,87460
CL:0002573,Schwann cell,47407
CL:0002576,perineurial cell,1481
CL:0002585,retinal blood vessel endothelial cell,6937
CL:0002586,retinal pigment epithelial cell,9323
CL:0002590,smooth muscle cell of the brain vasculature,920
CL:0002591,smooth muscle cell of the pulmonary artery,7016
CL:0002598,bronchial smooth muscle cell,1699
CL:0002601,uterine smooth muscle cell,23192
CL:0002604,hippocampal astrocyte,65712
CL:0002605,astrocyte of the cerebral cortex,364858
CL:0002607,migratory enteric neural crest cell,2969
CL:0002615,adipocyte of omentum tissue,115456
CL:0002617,adipocyte of breast,9780
CL:0002620,skin fibroblast,138836
CL:0002622,prostate stromal cell,691
CL:0002623,acinar cell of salivary gland,144747
CL:0002626,immature astrocyte,1150
CL:0002627,mature astrocyte,28029
CL:0002629,mature microglial cell,63848
CL:0002632,epithelial cell of lower respiratory tract,142285
CL:0002633,respiratory basal cell,209499
CL:0002657,glandular cell of esophagus,2216
CL:0002671,endothelial stalk cell,4225
CL:0002672,retinal progenitor cell,10298
CL:0002673,tongue muscle cell,606
CL:0002677,naive regulatory T cell,1295
CL:0002678,memory regulatory T cell,1212
CL:0003050,S cone cell,8970
CL:0004217,H1 horizontal cell,74038
CL:0004218,H2 horizontal cell,13823
CL:0004219,A2 amacrine cell,1070
CL:0004232,starburst amacrine cell,41720
CL:0005006,ionocyte,7246
CL:0005009,renal principal cell,5153
CL:0005010,renal intercalated cell,5875
CL:0005011,renal alpha-intercalated cell,5045
CL:0005012,multi-ciliated epithelial cell,80614
CL:0005019,pancreatic epsilon cell,1309
CL:0005021,mesenchymal lymphangioblast,410
CL:0005022,vascular lymphangioblast,8847
CL:0005025,visceromotor neuron,756
CL:0005026,hepatoblast,84394
CL:0007004,premigratory neural crest cell,644
CL:0007010,preosteoblast,736
CL:0007011,enteric neuron,2237
CL:0008001,hematopoietic precursor cell,407351
CL:0008002,skeletal muscle fiber,21175
CL:0008011,skeletal muscle satellite stem cell,69784
CL:0008015,inhibitory motor neuron,2056
CL:0008017,adult skeletal muscle myoblast,154
CL:0008019,mesenchymal cell,379282
CL:0008024,pancreatic endocrine cell,8
CL:0008031,cortical interneuron,20470
